-221,-462,-90,816,15020,-5408,35,10,-15,-16600,100788,249,336
-217,-455,-91,768,15012,-5472,38,10,-15,-16593,100792,249,478
-224,-463,-97,852,15052,-5460,33,11,-15,-16601,100791,249,478
-217,-461,-98,752,15012,-5332,33,11,-14,-16614,100793,249,478
-212,-450,-96,828,15024,-5496,38,11,-14,-16604,100792,249,478
-218,-466,-98,760,15008,-5408,34,10,-16,-16591,100785,249,418
-220,-461,-99,776,15044,-5384,36,11,-14,-16613,100788,249,418
-225,-462,-95,828,14952,-5404,35,10,-16,-16610,100789,249,418
-218,-460,-95,772,14976,-5448,37,11,-16,-16604,100786,249,418
-217,-458,-100,796,15004,-5412,34,10,-15,-16614,100785,249,401
-229,-464,-98,788,14988,-5384,35,10,-15,-16608,100785,249,401
-217,-461,-96,808,15024,-5504,36,10,-15,-16587,100793,249,401
-218,-458,-98,780,15052,-5480,35,10,-16,-16605,100788,249,401
-216,-456,-95,860,15040,-5368,34,10,-13,-16605,100791,249,405
-222,-454,-95,804,15016,-5404,35,10,-15,-16612,100783,249,405
-222,-463,-95,808,15040,-5468,36,10,-13,-16615,100788,249,405
-217,-459,-101,752,15020,-5364,35,10,-15,-16587,100788,249,405
-224,-463,-89,784,15012,-5392,35,11,-16,-16596,100788,249,380
-222,-454,-93,840,15000,-5476,36,10,-17,-16606,100791,249,380
-218,-465,-95,788,15056,-5408,37,10,-16,-16599,100786,249,380
-216,-461,-98,804,14988,-5488,33,10,-15,-16599,100788,249,380
-220,-460,-92,860,15020,-5396,36,11,-17,-16601,100788,249,456
-219,-467,-97,760,15020,-5472,35,10,-15,-16603,100785,249,456
-215,-461,-95,776,14996,-5396,34,10,-15,-16615,100782,249,456
-218,-453,-95,756,14988,-5428,34,10,-15,-16607,100783,249,456
-218,-464,-94,820,14988,-5448,37,11,-15,-16593,100779,249,335
-220,-459,-100,760,15004,-5464,35,11,-16,-16595,100793,249,335
-227,-466,-92,780,15012,-5456,35,11,-15,-16607,100793,249,335
-216,-455,-96,776,15016,-5444,36,10,-16,-16608,100783,249,335
-225,-459,-96,824,15020,-5432,35,11,-15,-16599,100783,249,464
-217,-462,-100,824,15032,-5440,35,10,-15,-16605,100791,249,464
-221,-461,-96,788,15004,-5428,36,11,-15,-16601,100783,249,464
-220,-457,-97,788,14968,-5448,35,10,-16,-16606,100789,249,464
